algorithm,dataset,url
BC,antmaze-large-play-v2,tlab/CORL/runs/kwy58i15
BC,antmaze-large-play-v2,tlab/CORL/runs/janur3zl
BC,antmaze-large-play-v2,tlab/CORL/runs/vlwc7kyk
BC,antmaze-large-play-v2,tlab/CORL/runs/p1gn517n
BC,antmaze-medium-play-v2,tlab/CORL/runs/25ik3239
BC,antmaze-medium-play-v2,tlab/CORL/runs/j7e7s4b1
BC,antmaze-medium-play-v2,tlab/CORL/runs/df4igrjn
BC,antmaze-medium-play-v2,tlab/CORL/runs/1o9e1g0n
BC,antmaze-umaze-v2,tlab/CORL/runs/nfizxigf
BC,antmaze-umaze-v2,tlab/CORL/runs/zzxha1ci
BC,antmaze-umaze-v2,tlab/CORL/runs/1ocsiue4
BC,antmaze-umaze-v2,tlab/CORL/runs/eyrpur2p
10% BC,antmaze-large-play-v2,tlab/CORL/runs/wiybqzr0
10% BC,antmaze-large-play-v2,tlab/CORL/runs/nlgiz0xi
10% BC,antmaze-large-play-v2,tlab/CORL/runs/uwb29xft
10% BC,antmaze-large-play-v2,tlab/CORL/runs/eahx2chh
10% BC,antmaze-medium-play-v2,tlab/CORL/runs/v82fk13n
10% BC,antmaze-medium-play-v2,tlab/CORL/runs/awzwjsgt
10% BC,antmaze-medium-play-v2,tlab/CORL/runs/85s2uzh7
10% BC,antmaze-medium-play-v2,tlab/CORL/runs/fch91ou7
10% BC,antmaze-umaze-v2,tlab/CORL/runs/p93gul6e
10% BC,antmaze-umaze-v2,tlab/CORL/runs/8suja0ax
10% BC,antmaze-umaze-v2,tlab/CORL/runs/ps7vb7qq
10% BC,antmaze-umaze-v2,tlab/CORL/runs/svd9puwm
AWAC,antmaze-large-play-v2,tlab/CORL/runs/gqsknjrw
AWAC,antmaze-large-play-v2,tlab/CORL/runs/uz1mui4r
AWAC,antmaze-large-play-v2,tlab/CORL/runs/5wiafkmp
AWAC,antmaze-large-play-v2,tlab/CORL/runs/0iexkmw7
AWAC,antmaze-medium-play-v2,tlab/CORL/runs/2z2eoj8k
AWAC,antmaze-medium-play-v2,tlab/CORL/runs/8go012ev
AWAC,antmaze-medium-play-v2,tlab/CORL/runs/55m764cg
AWAC,antmaze-medium-play-v2,tlab/CORL/runs/8rsav8uu
AWAC,antmaze-umaze-v2,tlab/CORL/runs/eoktum38
AWAC,antmaze-umaze-v2,tlab/CORL/runs/z8f19doo
AWAC,antmaze-umaze-v2,tlab/CORL/runs/dfr5z3sl
AWAC,antmaze-umaze-v2,tlab/CORL/runs/dg4hto72
TD3+BC,antmaze-large-play-v2,tlab/CORL/runs/rk6gyy0i
TD3+BC,antmaze-large-play-v2,tlab/CORL/runs/hije3v88
TD3+BC,antmaze-large-play-v2,tlab/CORL/runs/7z7wn6ai
TD3+BC,antmaze-large-play-v2,tlab/CORL/runs/swkgdla8
TD3+BC,antmaze-medium-play-v2,tlab/CORL/runs/w2ri0chh
TD3+BC,antmaze-medium-play-v2,tlab/CORL/runs/3tunu7aj
TD3+BC,antmaze-medium-play-v2,tlab/CORL/runs/mmfrps5m
TD3+BC,antmaze-medium-play-v2,tlab/CORL/runs/y933egvk
TD3+BC,antmaze-umaze-v2,tlab/CORL/runs/7g6nfjbd
TD3+BC,antmaze-umaze-v2,tlab/CORL/runs/9h68rgtr
TD3+BC,antmaze-umaze-v2,tlab/CORL/runs/wuhzz3fr
TD3+BC,antmaze-umaze-v2,tlab/CORL/runs/fbdwb1g5
IQL,maze2d-large-v1,tlab/CORL/runs/paqc6n7r
IQL,maze2d-large-v1,tlab/CORL/runs/t161ys9d
IQL,maze2d-large-v1,tlab/CORL/runs/3thh6k1c
IQL,maze2d-large-v1,tlab/CORL/runs/pptelbzd
IQL,maze2d-medium-v1,tlab/CORL/runs/y30a0o1o
IQL,maze2d-medium-v1,tlab/CORL/runs/g9hwgpsz
IQL,maze2d-medium-v1,tlab/CORL/runs/exk1h7rd
IQL,maze2d-medium-v1,tlab/CORL/runs/hqic3d7j
IQL,maze2d-umaze-v1,tlab/CORL/runs/fe4leetd
IQL,maze2d-umaze-v1,tlab/CORL/runs/1rok4pj1
IQL,maze2d-umaze-v1,tlab/CORL/runs/cpjf024a
IQL,maze2d-umaze-v1,tlab/CORL/runs/w15rt35b
IQL,walker2d-medium-expert-v2,tlab/CORL/runs/4j6b4kxv
IQL,walker2d-medium-expert-v2,tlab/CORL/runs/ctpdqlh9
IQL,walker2d-medium-expert-v2,tlab/CORL/runs/7cg28cul
IQL,walker2d-medium-expert-v2,tlab/CORL/runs/u60j7bd1
IQL,walker2d-medium-replay-v2,tlab/CORL/runs/zq3c29cs
IQL,walker2d-medium-replay-v2,tlab/CORL/runs/clwpbg8k
IQL,walker2d-medium-replay-v2,tlab/CORL/runs/2pqh2b99
IQL,walker2d-medium-replay-v2,tlab/CORL/runs/s0woblol
IQL,walker2d-medium-v2,tlab/CORL/runs/362pdyn5
IQL,walker2d-medium-v2,tlab/CORL/runs/u44ct6p9
IQL,walker2d-medium-v2,tlab/CORL/runs/qa14osol
IQL,walker2d-medium-v2,tlab/CORL/runs/oezars9l
IQL,hopper-medium-expert-v2,tlab/CORL/runs/t9j46dlk
IQL,hopper-medium-expert-v2,tlab/CORL/runs/03m68srt
IQL,hopper-medium-expert-v2,tlab/CORL/runs/uuzlo61d
IQL,hopper-medium-expert-v2,tlab/CORL/runs/5v5gdpty
IQL,hopper-medium-replay-v2,tlab/CORL/runs/vbxujllv
IQL,hopper-medium-replay-v2,tlab/CORL/runs/3clw63s0
IQL,hopper-medium-replay-v2,tlab/CORL/runs/3nih2mzr
IQL,hopper-medium-replay-v2,tlab/CORL/runs/x5ye4zkg
IQL,hopper-medium-v2,tlab/CORL/runs/uu3c4n0a
IQL,hopper-medium-v2,tlab/CORL/runs/j5l3lyj4
IQL,hopper-medium-v2,tlab/CORL/runs/zqtfyvf2
IQL,hopper-medium-v2,tlab/CORL/runs/1aemqlfi
IQL,halfcheetah-medium-expert-v2,tlab/CORL/runs/oh266eu2
IQL,halfcheetah-medium-expert-v2,tlab/CORL/runs/bp2ta12i
IQL,halfcheetah-medium-expert-v2,tlab/CORL/runs/c6wifr4s
IQL,halfcheetah-medium-expert-v2,tlab/CORL/runs/2h3hitjr
IQL,halfcheetah-medium-replay-v2,tlab/CORL/runs/dt4zqlzc
IQL,halfcheetah-medium-replay-v2,tlab/CORL/runs/5h85xd40
IQL,halfcheetah-medium-replay-v2,tlab/CORL/runs/dypzd8f1
IQL,halfcheetah-medium-replay-v2,tlab/CORL/runs/iitkz6fr
IQL,halfcheetah-medium-v2,tlab/CORL/runs/o3xv866d
IQL,halfcheetah-medium-v2,tlab/CORL/runs/belph12a
IQL,halfcheetah-medium-v2,tlab/CORL/runs/3izbg06r
IQL,halfcheetah-medium-v2,tlab/CORL/runs/o3n15zpx
IQL,antmaze-large-play-v2,tlab/CORL/runs/2shfj9a9
IQL,antmaze-large-play-v2,tlab/CORL/runs/wb0s3i24
IQL,antmaze-large-play-v2,tlab/CORL/runs/3y1ypq9l
IQL,antmaze-large-play-v2,tlab/CORL/runs/i3yp3e4k
IQL,antmaze-medium-play-v2,tlab/CORL/runs/mq2j0yy8
IQL,antmaze-medium-play-v2,tlab/CORL/runs/d0kh6bq3
IQL,antmaze-medium-play-v2,tlab/CORL/runs/06vntt7w
IQL,antmaze-medium-play-v2,tlab/CORL/runs/bb891xsq
IQL,antmaze-umaze-v2,tlab/CORL/runs/nqjjq5yu
IQL,antmaze-umaze-v2,tlab/CORL/runs/6fcav9y4
IQL,antmaze-umaze-v2,tlab/CORL/runs/lr664dj2
IQL,antmaze-umaze-v2,tlab/CORL/runs/qsznzxyg
DT,antmaze-large-play-v2,tlab/CORL/runs/4nphubu5
DT,antmaze-large-play-v2,tlab/CORL/runs/mi933yoo
DT,antmaze-large-play-v2,tlab/CORL/runs/my4eb5rx
DT,antmaze-large-play-v2,tlab/CORL/runs/35w8s54f
DT,antmaze-medium-play-v2,tlab/CORL/runs/vb4rxa0n
DT,antmaze-medium-play-v2,tlab/CORL/runs/jpicssa5
DT,antmaze-medium-play-v2,tlab/CORL/runs/hhmrsjan
